f1,convergence,popSize
62,-1.8012858545395E+23,15
64,-4.4220618380934E+22,15
66,-9.3879290891489E+22,15
68,-1.7668759167158E+22,15
70,-6.8708268734596E+22,15
72,-4.0740888109565E+22,15
74,-1.3264905730121E+22,15
76,-2.1526967132447E+22,15
78,-5.2402857810625E+22,15
80,-1.00876003963E+23,15
82,-4.0161472206837E+22,15
84,-2.4357321996906E+22,15
86,-3.3866967464544E+23,15
88,-5.7509134022294E+22,15
90,-2.8983369512108E+22,15
92,-1.269065678512E+23,15
94,-1.0231352757187E+23,15
96,-2.4050167257052E+23,15
98,-1.5910664917871E+23,15
100,-1.2221168431294E+23,15
f3,convergence,popSize
2,935804.87346566,15
4,604122.02388323,15
6,335842.4917003,15
8,334236.0003547,15
10,393939.97422586,15
12,228076.15522394,15
14,206228.77790272,15
16,197400.17879077,15
18,146535.70884448,15
20,115817.89522609,15
22,125117.5904758,15
24,140831.68249227,15
26,33621.099237978,15
28,81904.40100483,15
30,12576.589807484,15
32,45523.880419309,15
34,82433.332677089,15
36,13185.285551232,15
38,7981.0232259639,15
40,58600.772082093,15
42,96577.971244251,15
44,20768.955819092,15
46,70232.687937075,15
48,1984.1407504812,15
50,40657.157714443,15
52,20225.95466972,15
54,54028.112680851,15
56,17985.886352704,15
58,24158.073749696,15
60,3355.5110365224,15
62,439.0562977601,15
64,7374.1226586717,15
66,33042.472141449,15
68,0.077245721403495,15
70,405.64537816547,15
72,94.426544675342,15
74,5.4897419516053,15
76,177.88434116297,15
78,1754.0555215538,15
80,0.01108240149934,15
82,145.17118322615,15
84,3.2154263065038,15
86,6677.869075205,15
88,4549.9761867896,15
90,8.1889517184835,15
92,837.08817696671,15
94,0.024398549087184,15
96,1169.8906709119,15
98,1.3861260296534,15
100,363.33140575898,15
f4,convergence,popSize
2,84.467276654897,15
4,69.819347683465,15
6,59.56077868045,15
8,45.787423603493,15
10,41.086489452193,15
12,31.51697968817,15
14,33.418468897837,15
16,28.576590364434,15
18,26.163112566126,15
20,21.199207068059,15
22,24.453389004171,15
24,25.051194258417,15
26,12.399116912347,15
28,14.423752962043,15
30,17.673711459329,15
32,13.564857866718,15
34,6.1135461630963,15
36,8.7564265914832,15
38,7.7931938228977,15
40,3.5297822499193,15
42,8.1267251528258,15
44,4.1850162765935,15
46,8.166669793378,15
48,1.784418372475,15
50,0.75198034044704,15
52,1.8542784423904,15
54,5.8271851641511,15
56,4.6911883180008,15
58,1.8809691160325,15
60,2.4797352279385,15
62,3.8775608081834,15
64,7.0049261148047,15
66,0.20961510809946,15
68,1.6789039446043,15
70,0.32592925503862,15
72,2.026829137389,15
74,0.14597221416264,15
76,3.0391893812298,15
78,0.62776240316593,15
80,1.0278162137336,15
82,1.7217697430324,15
84,0.13296050242544,15
86,0.37029756515646,15
88,1.8784194072534,15
90,0.11403409522977,15
92,0.053230419450161,15
94,0.21481773305763,15
96,1.6543013017791,15
98,0.026211033020699,15
100,0.029818355747407,15
f5,convergence,popSize
2,225266831.35743,15
4,121071556.8417,15
6,106424825.93157,15
8,82434497.552982,15
10,84748430.641484,15
12,26317883.312578,15
14,40999481.521348,15
16,36055772.996405,15
18,52350262.605536,15
20,10551602.890751,15
22,28474339.72811,15
24,16874614.141366,15
26,23708716.703013,15
28,16263328.575056,15
30,13924660.948433,15
32,10999074.392292,15
34,1892778.5503646,15
36,292196.45996944,15
38,1837233.8708151,15
40,11266919.669949,15
42,18246510.214008,15
44,2243978.4132482,15
46,819.83373386961,15
48,1564.9002935168,15
50,38213.925142483,15
52,9344.760320396,15
54,4119372.1958911,15
56,4725.4229676271,15
58,859.30620843924,15
60,22445.083923728,15
62,9343085.6114436,15
64,4050.6527735152,15
66,9943640.4070283,15
68,2590.5606558179,15
70,38.038316711675,15
72,249.25081298367,15
74,38.226544043318,15
76,4353016.7444138,15
78,641817.01534636,15
80,8514.1646481096,15
82,1007226.8007648,15
84,1275.2654306338,15
86,100.01585820305,15
88,1893.0792619668,15
90,8248648.9307085,15
92,28.903892598542,15
94,28.943011864446,15
96,95484.890592707,15
98,5918802.6388397,15
100,30.757618454827,15
f6,convergence,popSize
2,51228.223146074,15
4,35435.751870737,15
6,31485.669175617,15
8,21120.757895309,15
10,17793.482751124,15
12,18893.403137168,15
14,18522.535752179,15
16,11124.597453515,15
18,9990.8530613834,15
20,5468.9169850144,15
22,8511.405644537,15
24,4986.5098184187,15
26,5468.2843363279,15
28,1123.0523285379,15
30,2375.8434603559,15
32,4178.5299367979,15
34,2453.6001177339,15
36,530.59305510513,15
38,184.96242708662,15
40,1383.4264790823,15
42,3922.0628052207,15
44,4555.3692908586,15
46,184.32069708618,15
48,39.307340319924,15
50,2412.1574004337,15
52,1994.0912457434,15
54,583.99121209433,15
56,103.65549871245,15
58,69.426655407252,15
60,212.3006716024,15
62,2767.4183824562,15
64,426.68420437448,15
66,32.2424790335,15
68,102.43446630096,15
70,2759.1806335107,15
72,334.66569332306,15
74,34.256103461775,15
76,4.874662709937,15
78,251.48777524623,15
80,1673.6439727451,15
82,57.419963333047,15
84,28.115724992906,15
86,768.75319772399,15
88,1263.5357301547,15
90,6.2840733894866,15
92,4.0846011447554,15
94,5.0026503668725,15
96,4.4039907852687,15
98,1590.3763629502,15
100,5.2306410642788,15
f8,convergence,popSize
2,-2100.6287075757,15
4,-1933.9678129262,15
6,-1843.7984844627,15
8,-1941.6526472322,15
10,-1824.2704312714,15
12,-1825.7959725828,15
14,-2010.4015141264,15
16,-1890.7819061668,15
18,-1900.1540980528,15
20,-1656.0393797559,15
22,-1774.7436944321,15
24,-1828.4693258235,15
26,-1860.5918069382,15
28,-1836.115737829,15
30,-1714.8081980455,15
32,-1735.8400429517,15
34,-1821.769373937,15
36,-1848.4928527042,15
38,-1802.0223385696,15
40,-1769.8594442949,15
42,-1718.446746341,15
44,-1854.5776734066,15
46,-1849.8143619811,15
48,-1833.4402229235,15
50,-1783.4733126976,15
52,-1749.6833975543,15
54,-1739.6865804754,15
